Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-265.95867919921875	11885.152	-171.85442	-302.85995	1000.0	-606.150390625	11.562778	-604.48035	-607.8867	1000.0	4000	0.44493473958333335	107627.29	1.0	-0.99999547	-0.8178788248697917	0.15441952514648438	29.83514165878296
2	-301.74200439453125	44240.92	-149.33952	-446.14777	1000.0	-480.448046875	12.306665	-478.63345	-482.7215	1000.0	8000	0.29443431640625	214398.23	1.0	-1.0	-0.595307373046875	0.15963410949707033	66.1255898475647
3	-231.3842010498047	54093.11	-32.65403	-315.4309	1000.0	152.64307861328126	5498.197	188.43837	112.48258	1000.0	12000	0.4422914453125	146141.61	1.0	-1.0	-0.8338333129882812	0.13450021362304687	103.38809633255005
4	40.66682052612305	23013.775	141.38809	-38.105762	1000.0	90.55494995117188	126.9952	94.424	83.53492	1000.0	16000	0.4492711328125	132628.14	1.0	-1.0	-0.7811551513671875	0.11357337951660157	140.7501015663147
5	14.931877136230469	36067.414	80.60273	-149.07123	1000.0	14.457600402832032	132.32289	21.00862	10.101928	1000.0	20000	0.6028255859375	102071.03	1.0	-1.0	-0.875880859375	0.09118417358398437	178.22415232658386
6	12.426040649414062	33741.355	88.592476	-141.55212	1000.0	142.8283935546875	57.70156	145.87355	138.10722	1000.0	24000	0.63252984375	98147.95	1.0	-1.0	-0.867839599609375	0.07894894409179687	214.84516429901123
7	62.62512969970703	17841.2	104.5402	-52.945465	1000.0	94.98316650390625	30344.543	124.90138	-17.159788	1000.0	28000	0.64379515625	97062.484	1.0	-1.0	-0.852417236328125	0.07111817932128907	254.70979571342468
8	93.50200653076172	90.972275	99.86929	87.30096	1000.0	48.551510620117185	27419.611	130.50957	11.76519	1000.0	32000	0.6876959375	81629.12	1.0	-1.0	-0.8724615478515625	0.06461695861816406	294.10984992980957
9	19.922243118286133	3036.671	67.34781	0.5722944	1000.0	78.442529296875	6011.898	108.97734	56.202675	1000.0	36000	0.724147734375	69909.85	1.0	-1.0	-0.8919287109375	0.06026213455200195	330.93552708625793
10	70.8231430053711	10.532548	72.94785	68.82038	1000.0	76.79375610351562	53.44425	83.277016	74.70609	1000.0	40000	0.755466171875	62094.55	1.0	-1.0	-0.9074194946289063	0.05634514236450195	368.71114683151245
11	69.28468322753906	254.91335	82.02149	60.231033	1000.0	75.56578369140625	19.88288	78.25827	73.897415	1000.0	44000	0.77457296875	57039.797	1.0	-1.0	-0.9133760986328125	0.052040657043457034	406.3767523765564
12	43.47450256347656	3960.6685	65.259415	-10.693962	1000.0	92.22828369140625	16.282362	94.39737	90.35263	1000.0	48000	0.788339375	53464.98	1.0	-1.0	-0.917592529296875	0.049886283874511717	445.44391560554504
13	58.279396057128906	68.26643	61.684116	51.42317	1000.0	68.56685180664063	151.68404	73.18409	62.632805	1000.0	52000	0.799916796875	49313.9	1.0	-1.0	-0.9193828125	0.04776528167724609	482.16455340385437
14	57.61730194091797	46.06374	63.04978	53.698574	1000.0	42.99794006347656	47.88306	48.002453	40.005577	1000.0	56000	0.810113359375	45760.15	1.0	-1.0	-0.92248388671875	0.045548629760742185	522.3557012081146
15	51.381980895996094	167.73149	61.057472	43.028744	1000.0	79.9868896484375	403.35376	89.30948	64.4151	1000.0	60000	0.817594140625	43590.633	1.0	-1.0	-0.9234865112304688	0.043156970977783204	561.7096192836761
