Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Forward_Reward	Test_Episode_Ctrl_Cost	Test_Episode_Len	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-243.8380126953125	3009.6853	-215.87361	-275.82614	1000.0	-528.014453125	228.64778	-522.10864	-540.7723	4.5698497772216795	-532.58427734375	1000.0	4000	0.15771541666666666	173306.64	1.0	-0.99999994	-0.4350411376953125	0.2343089599609375	28.158401250839233
2	-313.6876220703125	4655.4946	-279.52344	-358.67902	1000.0	-544.4107421875	39.221848	-540.93427	-547.06683	5.764035034179687	-550.1748046875	1000.0	8000	0.39871875	180174.81	1.0	-1.0	-0.7591630859375	0.1564925537109375	65.45704650878906
3	-294.9410400390625	27443.578	-215.89783	-413.14975	1000.0	-93.81633911132812	1481.0206	-72.3743	-115.986755	112.0568603515625	-205.873193359375	1000.0	12000	0.4265254296875	160440.0	1.0	-1.0	-0.8062033081054687	0.14734774780273438	100.67366313934326
4	86.41261291503906	62765.93	236.40326	-107.0091	1000.0	58.31571044921875	224.51794	67.901375	52.059925	298.5777099609375	-240.26201171875	1000.0	16000	0.394484140625	156880.39	1.0	-1.0	-0.7314943237304687	0.1254980239868164	137.55941247940063
5	77.78076934814453	108.46381	85.179	72.82008	1000.0	118.2495849609375	322.26233	125.49177	108.20406	299.7005859375	-181.4510009765625	1000.0	20000	0.59492859375	108639.48	1.0	-1.0	-0.8767723388671875	0.10579539489746094	173.58635115623474
6	63.44668197631836	498.58746	81.45473	51.647152	1000.0	64.465771484375	110.3683	68.66403	57.470528	274.580029296875	-210.1142578125	1000.0	24000	0.663870078125	95067.445	1.0	-1.0	-0.898674072265625	0.09138345336914062	208.3423137664795
7	66.38398742675781	104.453995	72.34426	60.894054	1000.0	93.1068359375	63.638165	96.02983	88.22399	282.2806884765625	-189.1738525390625	1000.0	28000	0.70956828125	83477.14	1.0	-1.0	-0.9119972534179688	0.07913226318359375	243.58338046073914
8	63.852867126464844	36.96005	67.81541	59.61886	1000.0	72.29483032226562	204.10316	78.962135	63.985134	263.3005859375	-191.00574951171876	1000.0	32000	0.74411796875	73873.49	1.0	-1.0	-0.9228836059570312	0.07180829620361329	278.1373801231384
9	61.17247009277344	166.09467	70.7405	54.07366	1000.0	77.19449462890626	24267.977	119.5264	-65.265854	266.970263671875	-189.77574462890624	1000.0	36000	0.7680396875	67721.96	1.0	-1.0	-0.926814208984375	0.06631256103515625	313.6713583469391
10	-42.32225036621094	46858.016	72.14439	-162.24918	1000.0	82.45830078125	13.498846	83.97528	80.73352	261.1725341796875	-178.7142333984375	1000.0	40000	0.768957109375	67110.55	1.0	-1.0	-0.9158561401367188	0.062239398956298826	349.44001841545105
11	58.198570251464844	76.10135	64.88868	53.35324	1000.0	75.65313720703125	25.723907	78.76016	72.773094	253.773583984375	-178.12044677734374	1000.0	44000	0.756352421875	72126.195	1.0	-1.0	-0.89538134765625	0.05816770935058594	385.21497082710266
12	61.096527099609375	81.75685	66.012726	54.04754	1000.0	82.17880859375	36.80424	84.710106	78.84218	263.2472412109375	-181.068408203125	1000.0	48000	0.779012890625	63604.516	1.0	-1.0	-0.9079685668945312	0.05454811096191406	420.02877712249756
13	58.403350830078125	200.73132	68.70677	51.748676	1000.0	79.87413330078125	119.676506	86.59568	75.388916	261.298486328125	-181.4243408203125	1000.0	52000	0.798479453125	55583.805	1.0	-1.0	-0.9194302978515625	0.051125106811523435	455.0943579673767
14	11.2277250289917	7164.845	55.171463	-35.411327	1000.0	135.0746826171875	34.542442	137.8549	132.02979	327.5835205078125	-192.50882568359376	1000.0	56000	0.80127328125	55210.793	1.0	-1.0	-0.9139306640625	0.049210514068603516	490.61843729019165
15	63.65642547607422	6.3731246	65.238884	62.002537	1000.0	104.267919921875	7.6761665	105.66762	102.93016	290.474365234375	-186.2064453125	1000.0	60000	0.796013515625	57738.926	1.0	-1.0	-0.9046905517578125	0.04794085693359375	526.1289482116699
16	59.772056579589844	101.23147	66.009705	53.348083	1000.0	83.41693725585938	18.47768	85.736435	80.7387	268.790380859375	-185.3734619140625	1000.0	64000	0.808450859375	52914.883	1.0	-1.0	-0.9087061767578125	0.049242897033691405	562.1171102523804
17	63.10480499267578	149.89857	71.76536	57.163357	1000.0	83.25217895507812	23.204252	85.15219	80.70908	264.243115234375	-180.99093017578124	1000.0	68000	0.818447734375	49653.723	1.0	-1.0	-0.9137412109375	0.0470200424194336	599.097927570343
18	52.40513610839844	131.77913	57.639145	42.72501	1000.0	77.58807373046875	108.05742	81.15585	72.32957	253.1657470703125	-175.5776611328125	1000.0	72000	0.825888359375	47025.492	1.0	-1.0	-0.9171361083984375	0.04549132537841797	637.2369883060455
19	57.52526092529297	190.82317	65.19985	46.984226	1000.0	63.66050415039062	536.27374	70.00383	43.99787	240.910107421875	-177.249609375	1000.0	76000	0.833562578125	43930.145	1.0	-1.0	-0.9211163330078125	0.043599220275878904	676.2655377388
20	31.190753936767578	9926.242	69.210625	-54.189102	1000.0	73.04287719726562	11.512238	74.281845	70.986786	253.8068603515625	-180.76397705078125	1000.0	80000	0.838461171875	42072.777	1.0	-1.0	-0.9215546875	0.04281082534790039	715.6092548370361
21	51.651512145996094	196.2893	60.61192	40.99374	1000.0	55.2548095703125	33.11483	58.041992	52.75985	231.8597412109375	-176.60491943359375	1000.0	84000	0.8324403125	44174.5	1.0	-1.0	-0.9137181396484375	0.04120886993408203	755.1518790721893
22	26.51203155517578	3582.5735	54.949646	-15.850359	1000.0	63.23436279296875	39.58277	67.80828	60.63056	237.04970703125	-173.81534423828126	1000.0	88000	0.8376896875	40681.02	1.0	-1.0	-0.916119140625	0.041106117248535155	795.1448628902435
23	50.582130432128906	88.216286	58.033413	45.085102	1000.0	59.77542724609375	73.65301	62.447895	52.401363	237.397998046875	-177.62255859375	1000.0	92000	0.850561640625	36182.58	1.0	-1.0	-0.925652587890625	0.04092490386962891	835.0191295146942
24	42.589324951171875	1007.60095	59.426323	16.785534	1000.0	48.108340454101565	22.558027	50.39748	45.54966	222.2387939453125	-174.1304443359375	1000.0	96000	0.856849921875	34269.074	1.0	-1.0	-0.9299000854492188	0.03947644424438477	875.0621531009674
25	46.3300666809082	273.7056	60.216377	38.874958	1000.0	58.35032348632812	13.699879	60.090656	55.945923	232.7173583984375	-174.367041015625	1000.0	100000	0.8600371875	32901.23	1.0	-1.0	-0.93182470703125	0.03835677337646484	915.3229286670685
26	42.64529800415039	427.01923	51.0077	25.48036	1000.0	57.496636962890626	52.303246	59.534878	51.192196	226.27802734375	-168.781396484375	1000.0	104000	0.862925546875	31924.904	1.0	-1.0	-0.9312188110351562	0.03784959411621094	955.6710841655731
27	36.057395935058594	1261.5344	54.80722	6.839581	1000.0	74.13196411132813	29.236862	78.38567	72.6416	244.565625	-170.43365478515625	1000.0	108000	0.86485015625	31211.44	1.0	-1.0	-0.9320953369140625	0.03656372451782226	995.8448839187622
28	43.10991668701172	765.133	64.44132	26.316992	1000.0	70.27980346679688	238.47182	80.59978	59.90029	244.06865234375	-173.7888427734375	1000.0	112000	0.86818484375	29901.36	1.0	-1.0	-0.9327283935546875	0.036706932067871095	1036.257221698761
29	47.873226165771484	47.06878	51.039646	42.50336	1000.0	30.06920166015625	8751.593	67.75169	4.5058885	223.2085693359375	-193.13935546875	1000.0	116000	0.87038984375	28895.613	1.0	-1.0	-0.9337337646484375	0.035451690673828126	1076.8043808937073
30	42.80207061767578	677.12836	55.05593	22.330564	1000.0	83.90584716796874	36.43145	87.440094	80.46467	261.7134521484375	-177.8075927734375	1000.0	120000	0.87425609375	27711.344	1.0	-1.0	-0.9354814453125	0.03558003997802734	1117.5158336162567
31	49.672271728515625	335.4518	58.770695	35.17801	1000.0	72.98515014648437	26.408567	74.8657	69.183784	246.98779296875	-174.0026123046875	1000.0	124000	0.876727109375	26741.473	1.0	-1.0	-0.9364951171875	0.03480918884277344	1158.160611152649
32	42.08142852783203	771.0357	57.816383	23.510612	1000.0	64.9387939453125	38.83653	69.03131	61.9779	271.84033203125	-206.901513671875	1000.0	128000	0.878265390625	26544.705	1.0	-1.0	-0.9364057006835937	0.034874038696289064	1199.0916419029236
33	39.999900817871094	115.93547	49.03787	34.967434	1000.0	88.2119140625	42.031864	90.565765	83.955605	294.4822021484375	-206.2703125	1000.0	132000	0.88007640625	26280.396	1.0	-1.0	-0.93734521484375	0.033817386627197264	1240.0571908950806
34	37.64031982421875	565.95233	57.526005	26.012314	1000.0	61.791387939453124	22.186808	64.69451	59.408905	238.55869140625	-176.7673095703125	1000.0	136000	0.88267609375	25665.338	1.0	-1.0	-0.938064208984375	0.03405591583251953	1281.4850723743439
35	35.707603454589844	158.25304	46.485554	30.631392	1000.0	90.048095703125	12.167955	91.36013	87.38742	261.9873779296875	-171.9392822265625	1000.0	140000	0.884172578125	25321.355	1.0	-1.0	-0.9384207763671875	0.03397127914428711	1323.0371944904327
36	40.617733001708984	1261.2781	59.058735	18.354307	1000.0	52.092254638671875	76.829185	58.440926	47.69028	224.7945556640625	-172.702294921875	1000.0	144000	0.887822578125	23647.021	1.0	-1.0	-0.94177294921875	0.032437774658203126	1364.3162822723389
