Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Len	AverageTest_Episode_Reward	StdTest_Episode_Reward	MaxTest_Episode_Reward	MinTest_Episode_Reward	Test_Episode_Forward_Reward	Test_Episode_Ctrl_Cost	Test_Episode_Len	Test_Episode_Clip_Ratio	Total_Interactions	AverageAction_Value	StdAction_Value	MaxAction_Value	MinAction_Value	Actor_Loss	Critic_Loss	Time
1	-226.87770080566406	8032.331	-151.65814	-269.00073	1000.0	-371.4654296875	752.26086	-358.14084	-390.96176	202.05902099609375	-573.524462890625	1000.0	0.0	4000	0.44663911458333333	107466.17	1.0	-0.9999954	-0.8044833984375	0.13900447591145834	30.558719635009766
2	-247.513671875	52585.68	-81.36268	-396.5174	1000.0	-371.582763671875	660.812	-358.34204	-381.6365	72.9767333984375	-444.559521484375	1000.0	0.0	8000	0.478370546875	142615.36	1.0	-0.9999994	-0.8274707641601563	0.14359710693359376	66.68111991882324
3	-233.45404052734375	72393.08	-14.98043	-358.66263	1000.0	75.8927734375	10791.053	95.585075	-21.276087	217.8699462890625	-141.97716064453124	1000.0	0.0	12000	0.5090476171875	123832.766	1.0	-1.0	-0.874375732421875	0.11544232177734375	103.57859301567078
4	84.49256134033203	3459.136	127.38605	45.55622	1000.0	88.74767456054687	3942.4458	103.51668	30.319117	234.7654296875	-146.0177490234375	1000.0	0.0	16000	0.5154238671875	124956.36	1.0	-1.0	-0.8102373046875	0.09688838195800781	141.91248846054077
5	89.92446899414062	138.31682	97.488625	84.112625	1000.0	86.9258056640625	44885.84	141.77592	-79.02525	273.450927734375	-186.5251220703125	1000.0	0.0	20000	0.63357015625	102156.016	1.0	-1.0	-0.8724447631835938	0.08327177429199219	178.6765477657318
6	65.41126251220703	217.26514	73.005875	53.688255	1000.0	73.82459716796875	113.70418	79.681755	69.04421	262.25615234375	-188.43155517578126	1000.0	0.0	24000	0.690268984375	91250.305	1.0	-1.0	-0.8903316040039062	0.07507384490966797	213.4621570110321
7	-16.934816360473633	36042.188	75.94484	-170.16916	1000.0	-30.07878723144531	79208.86	81.29259	-110.34796	167.0739501953125	-197.15272216796876	1000.0	0.0	28000	0.714499765625	88204.76	1.0	-1.0	-0.8845905151367187	0.07150366973876954	249.43578124046326
8	75.30854034423828	52.133858	80.9175	70.86416	1000.0	68.19163208007812	32784.1	90.11038	-103.488	237.273095703125	-169.08145751953126	1000.0	0.0	32000	0.7112765625	92312.45	1.0	-1.0	-0.8689620971679688	0.06837825775146485	285.2880382537842
9	13.311559677124023	28248.295	73.964	-130.56366	1000.0	67.60238037109374	53261.42	94.528206	-151.3035	244.4299560546875	-176.82757568359375	1000.0	0.0	36000	0.737038046875	80453.17	1.0	-1.0	-0.8772672119140625	0.06300173950195312	321.0944769382477
10	70.60205078125	66.96329	76.12999	64.59074	1000.0	152.1438232421875	124.59854	156.84929	144.40222	336.397021484375	-184.25321044921876	1000.0	0.0	40000	0.736388203125	81793.88	1.0	-1.0	-0.86723046875	0.05789764785766602	357.48042368888855
11	72.26605987548828	39.19159	76.589134	68.317444	1000.0	43.844940185546875	121039.9	100.788185	-178.16576	217.4926025390625	-173.64766845703124	1000.0	0.0	44000	0.765463984375	70034.45	1.0	-1.0	-0.886860107421875	0.052667224884033206	392.4706678390503
12	44.653961181640625	8710.689	79.852394	-35.5797	1000.0	80.46942138671875	68.36946	87.85095	78.333	255.66005859375	-175.190625	1000.0	0.0	48000	0.77633453125	65739.734	1.0	-1.0	-0.8895582275390626	0.051510665893554686	435.0243694782257
13	33.908058166503906	10848.63	67.48798	-56.090015	1000.0	105.53973388671875	8.847538	106.938774	103.893196	279.881396484375	-174.341650390625	1000.0	0.0	52000	0.789818046875	57808.23	1.0	-1.0	-0.896168701171875	0.04764291000366211	472.8235309123993
14	59.726993560791016	35.478127	64.2684	56.958103	1000.0	74.40650634765625	19.93568	77.02266	72.20759	243.44912109375	-169.0426025390625	1000.0	0.0	56000	0.7951303125	56055.29	1.0	-1.0	-0.8953353271484376	0.04620610809326172	508.1936933994293
