Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	-424.091552734375	14230.262	-378.91785	-525.49963	1000.0	-0.07804296875	3688.6426	2.320144	-2.3972604	4000	9.658932498268769e-08	1881.3402099609375	-0.049741100519895554	-188.64794921875	0.9189386367797852	0.014820283278822899	0.23199999332427979	53.0	10.884936571121216
1	-384.7523498535156	28583.613	-274.80164	-470.45523	1000.0	-2.099903076171875	7169.2524	2.0552878	-4.8966203	8000	-4.3630599577682005e-08	1346.3734130859375	-0.04617325961589813	-371.3692626953125	0.9093038439750671	0.014918101951479912	0.23000000417232513	46.0	20.83636498451233
2	-461.814453125	42075.816	-366.38373	-630.0232	1000.0	-8.2364814453125	42354.613	0.019709736	-12.128521	12000	-9.989738458671127e-08	1482.6873779296875	-0.015181876718997955	-405.9605712890625	0.8966213464736938	0.01306233461946249	0.1457500010728836	9.0	30.52342987060547
3	-366.0373229980469	12084.613	-323.71954	-460.53568	1000.0	-13.9836103515625	107766.125	2.073729	-20.001883	16000	5.072355335755674e-08	754.8646240234375	-0.05111667513847351	-177.1900634765625	0.894939124584198	0.01087849959731102	0.26100000739097595	79.0	40.154600620269775
4	-337.5572509765625	1862.8674	-307.20978	-368.21677	1000.0	-22.384875	61752.586	-2.8296657	-25.004648	20000	5.125999535948722e-08	247.91830444335938	-0.046089936047792435	-68.140869140625	0.8880721926689148	0.014870683662593365	0.20225000381469727	41.0	49.61580562591553
5	-363.93109130859375	8330.305	-284.90118	-391.1305	1000.0	-25.380703125	95260.664	-5.886138	-28.560928	24000	-2.9802322831784522e-09	247.2535400390625	-0.013435722328722477	-49.92588806152344	0.8771148324012756	0.013427658006548882	0.10899999737739563	6.0	59.226664781570435
6	-318.0411071777344	21797.986	-215.96698	-424.37762	1000.0	-26.09198828125	156678.27	-3.110659	-31.862947	28000	3.910064805268121e-08	282.0372619628906	-0.05105114355683327	-20.862701416015625	0.8761873245239258	0.014994406141340733	0.2777499854564667	68.0	69.18491458892822
7	-311.11376953125	8183.425	-249.80031	-373.42352	1000.0	-28.24117578125	150314.06	-7.0900598	-33.350975	32000	-2.1219253909521285e-08	152.4416046142578	-0.04421285539865494	-11.728057861328125	0.8646387457847595	0.014999878592789173	0.20250000059604645	42.0	78.92796206474304
8	-361.43182373046875	1348.7825	-329.6924	-373.2113	1000.0	-28.9186875	135986.62	-8.676745	-34.34551	36000	5.4836273299940785e-09	241.32150268554688	-0.0127730593085289	-21.457687377929688	0.8595777153968811	0.013036292977631092	0.18574999272823334	8.0	88.75342655181885
9	-354.0030822753906	7423.211	-295.40002	-414.9073	1000.0	-32.3145546875	95034.12	-8.148868	-36.157906	40000	1.4483928723052486e-08	138.11021423339844	-0.05579352006316185	-7.8671112060546875	0.8587920069694519	0.014014854095876217	0.2847500145435333	79.0	98.47337245941162
