Epoch	AverageEpisode_Reward	StdEpisode_Reward	MaxEpisode_Reward	MinEpisode_Reward	Episode_Length	AverageValue_Estimate	StdValue_Estimate	MaxValue_Estimate	MinValue_Estimate	Total_Interaction	Loss_Policy	Loss_Value	Delta_Loss_Policy	Delta_Loss_Value	Entropy	KL_Divergence	Clip_Fraction	Early_Stop_Iter	Time
0	19.737623762376238	15281.094	50.0	9.0	19.737623762376238	-0.13960511779785156	1.2674092	-0.024305724	-0.26025492	4000	-1.668930060816365e-08	187.88771057128906	-0.016919976100325584	-38.34715270996094	0.6829512715339661	0.010027734562754631	0.15199999511241913	79.0	9.779228687286377
1	25.10691823899371	28237.184	83.0	9.0	25.10691823899371	1.687700439453125	1294.0883	2.8067603	-0.5335492	8000	5.817413395448057e-08	274.75836181640625	-0.015306041575968266	-64.15908813476562	0.6915509104728699	0.006039713509380817	0.09549999982118607	79.0	19.36507773399353
2	31.658730158730158	59932.33	174.0	10.0	31.658730158730158	4.444541015625	2816.285	6.5642023	0.803697	12000	3.612041510336894e-08	455.212158203125	-0.012746176682412624	-110.72933959960938	0.6837353110313416	0.002686131978407502	0.04574999958276749	79.0	29.0456702709198
3	38.03809523809524	65837.84	141.0	8.0	38.03809523809524	8.8895009765625	1609.1055	11.039937	6.3183074	16000	-6.508827254947391e-08	439.6618347167969	-0.012718303129076958	-110.588134765625	0.6696573495864868	0.00455469498410821	0.04574999958276749	79.0	38.64773726463318
4	52.11842105263158	77977.94	158.0	11.0	52.11842105263158	13.7044453125	7920.301	17.690275	5.0671253	20000	5.7220457705398076e-08	536.483642578125	-0.014859957620501518	-138.19757080078125	0.6520388126373291	0.0071967653930187225	0.05249999836087227	79.0	48.3134868144989
5	78.43137254901961	127166.52	222.0	11.0	78.43137254901961	19.886943359375	2801.9883	22.028578	16.808664	24000	-6.318092005130893e-08	836.5211181640625	-0.011277255602180958	-227.611328125	0.6402424573898315	0.003947559278458357	0.03849999979138374	79.0	58.056777000427246
6	107.02702702702703	131368.97	276.0	23.0	107.02702702702703	27.629466796875	4638.1333	31.13748	21.646542	28000	-3.0755995084064125e-08	855.3950805664062	-0.009065009653568268	-191.31304931640625	0.623957097530365	0.004917416255921125	0.038750000298023224	79.0	67.98609137535095
7	137.06896551724137	99923.86	346.0	13.0	137.06896551724137	35.22108984375	17181.492	40.485996	27.195168	32000	1.6689301052252858e-09	768.2888793945312	-0.004122355952858925	-138.3052978515625	0.6152211427688599	0.002238683635368943	0.007000000216066837	79.0	77.55801272392273
8	141.96296296296296	90280.97	325.0	25.0	141.96296296296296	41.4089453125	2310.8887	43.859818	37.999928	36000	-6.794929507947245e-09	676.2520141601562	-0.00734349200502038	-63.9705810546875	0.6076006889343262	0.003164333291351795	0.013749999925494194	79.0	87.20548248291016
9	156.45833333333334	117827.96	382.0	57.0	156.45833333333334	46.02394140625	1035.5999	47.444077	43.915127	40000	3.218650901359865e-09	731.372802734375	-0.0062842885963618755	-52.58917236328125	0.6007708311080933	0.0029064370319247246	0.013000000268220901	79.0	97.18516874313354
10	245.9375	292398.94	587.0	60.0	245.9375	50.1850625	1293.5856	51.73971	47.910793	44000	-2.3007393323837277e-08	992.7365112304688	-0.0038099915254861116	-181.84478759765625	0.5944072604179382	0.0018008531769737601	0.01600000075995922	79.0	107.18890643119812
11	181.36363636363637	33079.09	242.0	74.0	181.36363636363637	57.87795703125	584.4033	59.21302	56.52885	48000	-5.006790093631253e-09	595.34521484375	-0.0031365659087896347	-4.72216796875	0.5800505876541138	0.004751171916723251	0.009999999776482582	79.0	117.12635779380798
12	211.88888888888889	64443.777	319.0	131.0	211.88888888888889	57.0241328125	3615.103	59.444332	53.770752	52000	1.0013580187262505e-08	660.4166259765625	-0.0015660534845665097	-11.0762939453125	0.58507239818573	0.0009493415709584951	0.0022499999031424522	79.0	126.84738969802856
13	232.4375	40603.938	336.0	151.0	232.4375	58.6839453125	465.76642	59.71262	57.474483	56000	-5.4836273299940785e-09	674.6090087890625	-0.001858248608186841	-20.79205322265625	0.5868974328041077	0.0006567359087057412	0.00800000037997961	79.0	136.61814737319946
14	279.57142857142856	215519.44	569.0	92.0	279.57142857142856	61.52752734375	2800.868	64.12369	58.21505	60000	-2.5987624496792705e-08	757.3404541015625	-0.005255089607089758	-39.33062744140625	0.5776208639144897	0.0027503289747983217	0.03175000101327896	79.0	146.40283012390137
15	263.2	193102.39	636.0	145.0	263.2	65.5555625	1234.3485	67.22014	63.94554	64000	1.3113021779531664e-09	692.7647094726562	-0.002072058618068695	-0.6842041015625	0.5694700479507446	0.0013615005882456899	0.016499999910593033	79.0	156.1682789325714
16	293.84615384615387	192703.69	519.0	85.0	293.84615384615387	65.935015625	191.04663	66.47243	65.03177	68000	-4.410743770222325e-09	712.2807006835938	-0.003149966476485133	-14.967529296875	0.5775043368339539	0.003553224727511406	0.01549999974668026	79.0	166.08373188972473
17	315.3333333333333	160196.67	587.0	180.0	315.3333333333333	68.5265859375	1711.7253	70.592995	66.02686	72000	7.748603536583687e-09	684.216796875	-0.0028782044537365437	-8.48468017578125	0.5669763684272766	0.008030325174331665	0.02174999937415123	79.0	175.84622311592102
18	223.88235294117646	103455.76	424.0	116.0	223.88235294117646	70.791484375	786.49603	72.22974	69.90886	76000	1.484155642828e-08	741.1349487304688	-0.0032618409022688866	-52.7276611328125	0.5637244582176208	0.004807084333151579	0.039000000804662704	79.0	185.6118438243866
19	246.42857142857142	83829.42	463.0	140.0	246.42857142857142	67.144484375	16435.12	71.53409	58.14765	80000	1.358985901589449e-08	706.886474609375	-0.004559436812996864	-4.72662353515625	0.5593097805976868	0.003705519950017333	0.03424999862909317	79.0	195.31687474250793
20	215.44444444444446	57438.445	378.0	122.0	215.44444444444446	67.59125	845.7432	68.94227	65.60835	84000	-3.576278717609682e-10	686.2344970703125	-0.0026312924455851316	-41.196044921875	0.559982419013977	0.003071824088692665	0.019999999552965164	79.0	205.01787066459656
21	272.42857142857144	202797.45	646.0	151.0	272.42857142857144	63.0129453125	3446.1826	65.50758	59.17601	88000	-3.0994415922691587e-09	715.102294921875	-0.0041457246989011765	-22.35430908203125	0.5627100467681885	0.0032131329644471407	0.016750000417232513	79.0	214.79877591133118
22	338.72727272727275	158042.19	683.0	178.0	338.72727272727275	66.05853125	924.7932	67.64421	64.585495	92000	-3.4570692974966732e-09	706.9172973632812	-0.00458186399191618	-48.1619873046875	0.5647667646408081	0.005360434763133526	0.03350000083446503	79.0	224.58057928085327
23	306.38461538461536	162965.08	536.0	163.0	306.38461538461536	70.731921875	2524.7822	73.13141	67.83714	96000	-6.9141385949933465e-09	692.4600830078125	-0.005104088690131903	-0.813720703125	0.5662037134170532	0.005892657674849033	0.035750001668930054	79.0	234.4950921535492
24	382.8	328405.6	759.0	117.0	382.8	70.543890625	317.18185	71.59778	69.5538	100000	-7.867813067718998e-09	694.9863891601562	-0.004915820900350809	-29.20770263671875	0.5727695226669312	0.004079313483089209	0.013000000268220901	79.0	244.96694016456604
25	298.0	108158.0	458.0	116.0	298.0	73.836234375	4431.6133	76.50794	71.08179	104000	1.597404519770862e-08	695.2373657226562	-0.0020545446313917637	-14.2659912109375	0.5715561509132385	0.00427393801510334	0.010250000283122063	79.0	255.20153379440308
26	247.14285714285714	75479.72	421.0	151.0	247.14285714285714	71.9130234375	2610.1074	74.045616	68.30247	108000	2.38418573772492e-09	714.9390258789062	-0.0027534598484635353	-13.38153076171875	0.5691002011299133	0.008011952042579651	0.0215000007301569	79.0	265.2508866786957
27	329.0833333333333	265398.9	584.0	132.0	329.0833333333333	69.30359375	1103.4288	70.79645	67.872345	112000	-6.556510889765832e-10	716.4575805664062	-0.004126345738768578	-9.32757568359375	0.5623452663421631	0.0029301524627953768	0.020749999210238457	79.0	275.0178189277649
28	294.15384615384613	246991.69	619.0	132.0	294.15384615384613	71.636140625	735.4608	73.320404	70.056656	116000	4.887581006585151e-09	707.437255859375	-0.0015996424481272697	-1.61810302734375	0.5708304047584534	0.001684255781583488	0.0024999999441206455	79.0	285.0653290748596
29	538.8571428571429	527704.9	959.0	250.0	538.8571428571429	70.78478125	301.22028	71.599846	69.76411	120000	-2.2649764286342133e-09	706.8264770507812	-0.001722714863717556	-129.05328369140625	0.5621297359466553	0.0037001909222453833	0.004999999888241291	79.0	295.38278794288635
30	383.7	285542.1	766.0	170.0	383.7	79.02515625	1707.2338	80.67261	76.84868	124000	5.006790093631253e-09	666.4876708984375	-0.002911242889240384	-7.60205078125	0.565521240234375	0.007081212941557169	0.020999999716877937	79.0	305.9865970611572
31	221.35294117647058	28991.883	292.0	150.0	221.35294117647058	77.43040625	1491.5759	79.03947	75.55909	128000	9.179115245672165e-09	876.6235961914062	-0.0034982396755367517	-204.1099853515625	0.5651991963386536	0.0065216850489377975	0.03500000014901161	79.0	315.91069173812866
32	243.33333333333334	128361.33	418.0	74.0	243.33333333333334	66.08509375	37854.703	70.982185	49.98818	132000	1.287460360543946e-08	717.2472534179688	-0.002931067952886224	-8.2061767578125	0.5640679001808167	0.007358522154390812	0.04374999925494194	79.0	325.60575795173645
33	387.2857142857143	36475.426	466.0	267.0	387.2857142857143	68.50734375	4104.1396	71.89758	64.634636	136000	0.0	721.8460083007812	-0.0021524291951209307	-155.74322509765625	0.5611705183982849	0.006416632793843746	0.026000000536441803	79.0	335.2438304424286
